jn	abs	pmid
160. Vet Microbiol. 2016 Apr 15;186:117-25. doi: 10.1016/j.vetmic.2016.02.006. Epub	2016 Mar 4.  Salmonella Typhimurium infection primes a nutriprive mechanism in piglets.  Miarelli M(1), Drumo R(2), Signorelli F(3), Marchitelli C(3), Pavone S(4), Pesciaroli M(5), Ruggieri J(6), Chirullo B(7), Ammendola S(8), Battistoni A(8), Alborali GL(6), Manuali E(4), Pasquali P(7).  Author information:  (1)Consiglio per la ricerca in agricoltura e l'analisi dell'economia agraria, Monterotondo (RM), Italy. Electronic address: maria.miarelli@crea.gov.it. (2)Department of Veterinary Public Health and Food Safety, Istituto Superiore di  Sanità, Rome, Italy; Department of Comparative Biomedicine and Food Science, University of Padova, Agripolis, Legnaro (PD), Italy. (3)Consiglio per la ricerca in agricoltura e l'analisi dell'economia agraria, Monterotondo (RM), Italy. (4)Istituto Zooprofilattico Sperimentale dell'Umbria e delle Marche, Perugia, Italy. (5)Department of Veterinary Public Health and Food Safety, Istituto Superiore di  Sanità, Rome, Italy; VISAVET Health Surveillance Centre, Universidad Complutense  Madrid, Madrid, Spain. (6)Department of Veterinary Diagnostic, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Brescia, Italy. (7)Department of Veterinary Public Health and Food Safety, Istituto Superiore di  Sanità, Rome, Italy. (8)Department of Biology, University of Roma Tor Vergata, Rome, Italy.  Salmonella enterica serovar Typhimurium (S. Typhimurium) is an important cause of acute food- borne zoonoses worldwide, typically carried by pigs. It is well known that Salmonella has evolved a wide array of strategies enabling it to invade the  host, but little information is available on the specific host responses to Salmonella infections. In the present study, we used an in vivo approach (involving piglets infected with a virulent or an attenuated S. Typhimurium strain) coupled to histological and proteomic analysis of the cecum mucosa, to highlight the host pathways activated during S. Typhimurium infection. We confirm the complex host-pathogen interaction. Our data showed that the metabolic and the cytoskeleton organization functions were the most significantly altered. In particular, the modifications of energy metabolic pathway could suggest a "nutriprive" mechanism, in which the host reduce its metabolic and energetic status to limit Salmonella infection. This study could represent a preliminary approach, providing information useful to better understand the host-Salmonella interaction.  Copyright © 2016 Elsevier B.V. All rights reserved.  DOI: 10.1016/j.vetmic.2016.02.006 	27016766
161. Open Vet J. 2016;6(1):36-43. Epub 2016 Mar 2.	 Isolation and molecular identification of Vibrio spp. by sequencing of 16S rDNA from seafood, meat and meat products in Libya.  Azwai SM(1), Alfallani EA(1), Abolghait SK(2), Garbaj AM(3), Naas HT(3), Moawad AA(4), Gammoudi FT(1), Rayes HM(1), Barbieri I(5), Eldaghayes IM(1).  Author information:  (1)Department of Microbiology and Parasitology, Faculty of Veterinary Medicine, University of Tripoli, P.O. Box 13662, Tripoli, Libya. (2)Department of Food Hygiene and Control, Faculty of Veterinary Medicine, Suez Canal University, 41522 Ismailia, Egypt. (3)Department of Food Hygiene and Control, Faculty of Veterinary Medicine, University of Tripoli, P.O. Box 13662, Tripoli, Libya. (4)Department of Food Hygiene and Control, Faculty of Veterinary Medicine, Cairo  University, 12211 Giza, Egypt. (5)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Via Bianchi, 9 - 25124 Brescia, Italy.  The genus Vibrio includes several food-borne pathogens that cause a spectrum of clinical conditions including septicemia, cholera and milder forms of gastroenteritis. Several Vibrio spp. are commonly associated with food-borne transmission including Vibrio cholerae, Vibrio parahemolyticus, and Vibrio vulnificus. Microbiological analysis for enumeration and isolation of Vibrio spp. were carried out for a total of 93 samples of seafood, meat and meat products from different geographic localities in Libya (Tripoli, Regdalin, Janzour and Tobruk). Vibrio spp. were detected by conventional cultural and molecular method  using PCR and sequencing of 16S rDNA. Out of the 93 cultured samples only 48 (51.6%) yielded colonies on Thiosulfate Citrate Bile Salt agar (TCBS) with culture characteristics of Vibrio spp. More than half (n=27) of processed seafood samples (n=46) yielded colonies on TCBS, while only 44.6 % of samples of meat and meat products showed colonies on TCBS. Among cultured seafood samples, the highest bacterial count was recorded in clam with a count of 3.8 ×10(4) CFU\g. Chicken burger samples showed the highest bacterial count with 6.5 ×10(4) CFU\g.  Molecular analysis of the isolates obtained in this study, showed that 11 samples out of 48 (22.9%) were Vibrio spp. Vibrio parahemolyticus was isolated from camel meat for the first time. This study is an initial step to provide a baseline for  future molecular research targeting Vibrio spp. foodborne illnesses. This data will be used to provide information on the magnitude of such pathogens in Libyan  seafood, meat and meat products.   PMCID: PMC4791562	27004169
162. Microbiologyopen. 2016 Aug;5(4):551-9. doi: 10.1002/mbo3.350. Epub 2016 Mar 17.	 Estimation of Mycobacterium avium subsp. paratuberculosis load in raw bulk tank milk in Emilia-Romagna Region (Italy) by qPCR.  Ricchi M(1), Savi R(1), Bolzoni L(2)(3), Pongolini S(2)(3), Grant IR(4), De Cicco C(1), Cerutti G(1), Cammi G(1), Garbarino CA(1), Arrigoni N(1).  Author information:  (1)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, National Reference Centre for Paratuberculosis, Strada Faggiola 1, loc., Gariga - Podenzano (PC), 29027, Italy. (2)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Centro di Referenza Nazionale per i Rischi Emergenti in Sicurezza Alimentare, 20133, Milan, Italy. (3)Risk Analysis Unit, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Via dei Mercati 13/A, Parma, 43121, Italy. (4)Institute for Global Food Security, School of Biological Sciences, Queen's University Belfast, 97 Lisburn Road, Belfast, BT9 7BL, Northern Ireland, United Kingdom.  Consumption of milk and dairy products is considered one of the main routes of human exposure to Mycobacterium avium subsp. paratuberculosis (MAP). Quantitative data on MAP load in raw cows' milk are essential starting point for exposure assessment. Our study provides this information on a regional scale, estimating the load of MAP in bulk tank milk (BTM) produced in Emilia-Romagna region (Italy). The survey was carried out on 2934 BTM samples (88.6% of the farms herein present) using two different target sequences for qPCR (f57 and IS900). Data about the performances of both qPCRs are also reported, highlighting the superior sensitivity of IS900-qPCR. Seven hundred and eighty-nine samples tested  MAP-positive (apparent prevalence 26.9%) by IS900 qPCR. However, only 90 of these samples were quantifiable by qPCR. The quantifiable samples contained a median load of 32.4 MAP cells mL(-1) (and maximum load of 1424 MAP cells mL(-1) ). This  study has shown that a small proportion (3.1%) of BTM samples from Emilia-Romagna region contained MAP in excess of the limit of detection (1.5 × 10(1) MAP cells mL(-1) ), indicating low potential exposure for consumers if the milk subsequently undergoes pasteurization or if it is destined to typical hard cheese production.  © 2016 The Authors. MicrobiologyOpen published by John Wiley & Sons Ltd.  DOI: 10.1002/mbo3.350  PMCID: PMC4985589	26991108
163. Parasitol Res. 2016 May;115(5):2115-20. doi: 10.1007/s00436-016-4981-x. Epub 2016	Mar 10.  Spread and genotype of Toxoplasma gondii in naturally infected alpine chamois (Rupicapra r. rupicapra).  Formenti N(1), Gaffuri A(2), Trogu T(3), Viganò R(4), Ferrari N(3), Lanfranchi P(3).  Author information:  (1)Department of Veterinary Sciences and Public Health, Università degli Studi di Milano, via Celoria 10, 20133, Milan, Italy. nicoletta_formenti@yahoo.it. (2)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna "Bruno Ubertini" (IZSLER), via Rovelli 53, I-24100, Bergamo, Italy. (3)Department of Veterinary Sciences and Public Health, Università degli Studi di Milano, via Celoria 10, 20133, Milan, Italy. (4)Studio Associato AlpVet, Piazza Venzaghi 2, 21052, Busto Arsizio, VA, Italy.  The complex life cycle of Toxoplasma gondii involves many animal species, raising zoonotic, economic, and conservation issues. This complexity is reflected in the  molecular structure of T. gondii, whose different genotypes differ in pathogenicity. Among the intermediate hosts of T. gondii, wild ungulates may be a source of human infection. Despite intense hunting activity and the consumption of raw or undercooked meat, little information is available on the spread of T. gondii and the distribution of its genotypes in these species, including the alpine chamois (Rupicapra r. rupicapra). Ninety-three sera and 50 brain tissues from chamois were sampled (1) to investigate the spread of T. gondii with serological and molecular analyses, and (2) to genotype the strains with a restriction fragment length polymorphism analysis of the SAG2 locus. The prevalence of T. gondii was low on both serological (3.2 %) and molecular (2 %) analyses, and infections were concentrated in individuals >1 year old. These findings demonstrate the sporadic presence of the protozoan in this species on consistent diagnostic tests. Horizontal transmission seems to be the main route of infection, and cats are the only definitive host in the study area. This prevalence suggests that the environment of the chamois is less contaminated with oocysts than environments close to human settlements. The SAG2 type II genotype was detected in this species for the first time. Although this genotype is predominant in human toxoplasmosis, these results suggest that the chamois is a minor source of human infection.  DOI: 10.1007/s00436-016-4981-x 	26960960
164. PLoS One. 2016 Feb 22;11(2):e0149642. doi: 10.1371/journal.pone.0149642.	eCollection 2016.  Key Role of Sequencing to Trace Hepatitis A Viruses Circulating in Italy During a Large Multi-Country European Foodborne Outbreak in 2013.  Bruni R(1), Taffon S(1), Equestre M(2), Chionne P(1), Madonna E(1), Rizzo C(3), Tosti ME(3), Alfonsi V(3), Ricotta L(3), De Medici D(4), Di Pasquale S(4), Scavia G(4), Pavoni E(5), Losio MN(5), Romanò L(6), Zanetti AR(6), Morea A(7), Pacenti M(8), Palù G(9), Capobianchi MR(10), Chironna M(7), Pompa MG(11), Ciccaglione AR(1); Italian National Task Force on Hepatitis A.  Author information:  (1)Department of Infectious, Parasitic and Immune-mediated Diseases, Istituto Superiore di Sanità (ISS), Rome, Italy. (2)Department of Cell Biology and Neurosciences, Istituto Superiore di Sanità (ISS), Rome, Italy. (3)National Centre for Epidemiology, Surveillance and Health Promotion, Istituto  Superiore di Sanità (ISS), Rome, Italy. (4)Department of Veterinary Public Health and Food Safety, Istituto Superiore di  Sanità (ISS), Rome, Italy. (5)Reparto tecnologia acidi nucleici applicata agli alimenti, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Brescia, Italy. (6)Department of Biomedical Sciences for Health, University of Milan, Milan, Italy. (7)Azienda Ospedaliero-Universitaria Policlinico di Bari, Bari, Italy. (8)Microbiology and Virology Unit, Padua University Hospital, Padua, Italy. (9)Department of Molecular Medicine, University of Padua, Padua, Italy. (10)Laboratory of Virology, Istituto Nazionale per le Malattie Infettive "L. Spallanzani", Rome, Italy. (11)Directorate General for Preventive Health Care, Ministry of Health, Rome, Italy.  BACKGROUND: Foodborne Hepatitis A Virus (HAV) outbreaks are being recognized as an emerging public health problem in industrialized countries. In 2013 three foodborne HAV outbreaks occurred in Europe and one in USA. During the largest of  the three European outbreaks, most cases occurred in Italy (>1,200 cases as of March 31, 2014). A national Task Force was established at the beginning of the outbreak by the Ministry of Health. Mixed frozen berries were early demonstrated  to be the source of infection by the identity of viral sequences in patients and  in food. In the present study the molecular characterization of HAV isolates from 355 Italian cases is reported. METHODS: Molecular characterization was carried out by PCR/sequencing (VP1/2A region), comparison with reference strains and phylogenetic analysis. RESULTS: A unique strain was responsible for most characterized cases (235/355, 66.1%). Molecular data had a key role in tracing this outbreak, allowing 110 out  of the 235 outbreak cases (46.8%) to be recognized in absence of any other link.  The data also showed background circulation of further unrelated strains, both autochthonous and travel related, whose sequence comparison highlighted minor outbreaks and small clusters, most of them unrecognized on the basis of epidemiological data. Phylogenetic analysis showed most isolates from travel related cases clustering with reference strains originating from the same geographical area of travel. CONCLUSIONS: In conclusion, the study documents, in a real outbreak context, the  crucial role of molecular analysis in investigating an old but re-emerging pathogen. Improving the molecular knowledge of HAV strains, both autochthonous and circulating in countries from which potentially contaminated foods are imported, will become increasingly important to control outbreaks by supporting trace back activities, aiming to identify the geographical source(s) of contaminated food, as well as public health interventions.  DOI: 10.1371/journal.pone.0149642  PMCID: PMC4764681	26901877
165. PLoS One. 2016 Feb 18;11(2):e0149529. doi: 10.1371/journal.pone.0149529.	eCollection 2016.  Full Genome Sequence-Based Comparative Study of Wild-Type and Vaccine Strains of  Infectious Laryngotracheitis Virus from Italy.  Piccirillo A(1), Lavezzo E(2), Niero G(1), Moreno A(3), Massi P(4), Franchin E(2), Toppo S(2), Salata C(2), Palù G(2).  Author information:  (1)Department of Comparative Biomedicine and Food Science (BCA), University of Padua, Legnaro (Padua), Italy. (2)Department of Molecular Medicine, University of Padua (DMM), Padua, Italy. (3)Department of Virology, Istituto Zooprofilattico Sperimentale della Lombardia  e dell'Emilia Romagna (IZSLER), Brescia, Italy. (4)Department of Diagnostics, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna (IZSLER), Forlì, Italy.  Infectious laryngotracheitis (ILT) is an acute and highly contagious respiratory  disease of chickens caused by an alphaherpesvirus, infectious laryngotracheitis virus (ILTV). Recently, full genome sequences of wild-type and vaccine strains have been determined worldwide, but none was from Europe. The aim of this study was to determine and analyse the complete genome sequences of five ILTV strains.  Sequences were also compared to reveal the similarity of strains across time and  to discriminate between wild-type and vaccine strains. Genomes of three ILTV field isolates from outbreaks occurred in Italy in 1980, 2007 and 2011, and two commercial chicken embryo origin (CEO) vaccines were sequenced using the 454 Life Sciences technology. The comparison with the Serva genome showed that 35 open reading frames (ORFs) differed across the five genomes. Overall, 54 single nucleotide polymorphisms (SNPs) and 27 amino acid differences in 19 ORFs and two  insertions in the UL52 and ORFC genes were identified. Similarity among the field strains and between the field and the vaccine strains ranged from 99.96% to 99.99%. Phylogenetic analysis revealed a close relationship among them, as well.  This study generated data on genomic variation among Italian ILTV strains revealing that, even though the genetic variability of the genome is well conserved across time and between wild-type and vaccine strains, some mutations may help in differentiating among them and may be involved in ILTV virulence/attenuation. The results of this study can contribute to the understanding of the molecular bases of ILTV pathogenicity and provide genetic markers to differentiate between wild-type and vaccine strains.  DOI: 10.1371/journal.pone.0149529  PMCID: PMC4758665	26890525
166. Arch Virol. 2016 May;161(5):1343-6. doi: 10.1007/s00705-016-2778-y. Epub 2016 Feb	12.  Serological survey of hepatitis E virus infection in farmed and pet rabbits in Italy.  Di Bartolo I(1), De Sabato L(2), Marata A(3), Martinelli N(4), Magistrali CF(5),  Monini M(2), Ponterio E(2), Ostanello F(6), Ruggeri FM(2).  Author information:  (1)Department of Veterinary Public Health and Food Safety, Istituto Superiore di  Sanità, Viale Regina Elena 299, 00161, Rome, Italy. ilaria.dibartolo@iss.it. (2)Department of Veterinary Public Health and Food Safety, Istituto Superiore di  Sanità, Viale Regina Elena 299, 00161, Rome, Italy. (3), Macerata, Italy. (4)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna (IZSLER), Brescia, Italy. (5)Istituto Zooprofilattico Sperimentale dell'Umbria e delle Marche, Perugia, Italy. (6)Department of Veterinary Medical Sciences, University of Bologna, Ozzano dell'Emilia, BO, Italy.  The recent identification in rabbits of hepatitis E viruses (HEV) related to viruses infecting humans raises the question of the role of this species as possible HEV reservoir. A serological survey on rabbit HEV infection was conducted in Italy during 2013-2014, including both farmed and pet rabbits. We found an anti-HEV antibody seroprevalence of 3.40 % in 206 farmed rabbits (collected on 7 farms) and 6.56 % in 122 pets. RNA was extracted from IgG-positive sera and analyzed by HEV-specific real-time RT-PCR. None of the samples were positive, confirming that no viremia was present in the presence of  IgG. Only one serum sample from a farmed rabbit was positive for IgM, but no HEV  RNA was detected in it. Pet rabbit feces were also tested for HEV RNA, with negative results. This finding suggests that HEV is circulating in rabbits in Italy.  DOI: 10.1007/s00705-016-2778-y 	26873813
167. Res Vet Sci. 2016 Feb;104:92-5. doi: 10.1016/j.rvsc.2015.11.014. Epub 2015 Dec 2.	 The effect of transport stress on turkey (Meleagris gallopavo) liver acute phase  proteins gene expression.  Marques AT(1), Lecchi C(1), Grilli G(1), Giudice C(1), Nodari SR(2), Vinco LJ(2), Ceciliani F(3).  Author information:  (1)Department of Veterinary Science and Public Health, Università di Milano, Via  Celoria 10, 20133 Milano, Italy. (2)National Reference Centre of Animal Welfare, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna B. Ubertini, Via Bianchi 9, 25124 Brescia, Italy. (3)Department of Veterinary Science and Public Health, Università di Milano, Via  Celoria 10, 20133 Milano, Italy. Electronic address: fabrizio.ceciliani@unimi.it.  The aim of this study was to investigate the effects of transport-related stress  on the liver gene expression of four acute phase proteins (APP), namely α1-acid glycoprotein (AGP), C-Reactive Protein (CRP), Serum Amyloid A (SAA) and PIT54, in turkeys (Meleagris gallopavo). A group of seven BUT BIG 6 commercial hens was subjected to a two-hour long road transportation and the quantitative gene expression of APP in the liver was compared to that of a non transported control  group. The expression of AGP and CRP mRNA was found to be increased in animals slaughtered after road transport. The presence of AGP protein was also confirmed  by immunohistochemistry and Western blotting. The results of this study showed that road-transport may induce the mRNA expression of immune related proteins. The finding that AGP and CRP can be upregulated during transport could suggest their use as for the assessment of turkey welfare during transport.  Copyright © 2015 Elsevier Ltd. All rights reserved.  DOI: 10.1016/j.rvsc.2015.11.014 	26850544
168. Front Cell Infect Microbiol. 2016 Jan 22;5:106. doi: 10.3389/fcimb.2015.00106.	eCollection 2015.  Salmonella enterica Serovar Typhimurium Exploits Inflammation to Modify Swine Intestinal Microbiota.  Drumo R(1), Pesciaroli M(2), Ruggeri J(3), Tarantino M(4), Chirullo B(4), Pistoia C(4), Petrucci P(4), Martinelli N(3), Moscati L(5), Manuali E(5), Pavone S(5), Picciolini M(6), Ammendola S(7), Gabai G(8), Battistoni A(7), Pezzotti G(5), Alborali GL(3), Napolioni V(6), Pasquali P(4), Magistrali CF(5).  Author information:  (1)Department of Veterinary Public Health and Food Safety, Istituto Superiore di  SanitàRome, Italy; Department of Comparative Biomedicine and Food Science, University of PaduaPadua, Italy. (2)Department of Veterinary Public Health and Food Safety, Istituto Superiore di  SanitàRome, Italy; VISAVET Health Surveillance Centre, Universidad Complutense MadridMadrid, Spain. (3)Department of Veterinary Diagnostic, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna Brescia, Italy. (4)Department of Veterinary Public Health and Food Safety, Istituto Superiore di  Sanità Rome, Italy. (5)Research and Development Area, Istituto Zooprofilattico Sperimentale dell'Umbria e della Marche Perugia, Italy. (6)Department of Experimental Medicine, University of Perugia Perugia, Italy. (7)Department of Biology, University of Roma Tor Vergata Rome, Italy. (8)Department of Comparative Biomedicine and Food Science, University of Padua Padua, Italy.  Salmonella enterica serovar Typhimurium is an important zoonotic gastrointestinal pathogen responsible for foodborne disease worldwide. It is a successful enteric  pathogen because it has developed virulence strategies allowing it to survive in  a highly inflamed intestinal environment exploiting inflammation to overcome colonization resistance provided by intestinal microbiota. In this study, we used piglets featuring an intact microbiota, which naturally develop gastroenteritis,  as model for salmonellosis. We compared the effects on the intestinal microbiota  induced by a wild type and an attenuated S. Typhimurium in order to evaluate whether the modifications are correlated with the virulence of the strain. This study showed that Salmonella alters microbiota in a virulence-dependent manner. We found that the wild type S. Typhimurium induced inflammation and a reduction of specific protecting microbiota species (SCFA-producing bacteria) normally involved in providing a barrier against pathogens. Both these effects could contribute to impair colonization resistance, increasing the host susceptibility  to wild type S. Typhimurium colonization. In contrast, the attenuated S. Typhimurium, which is characterized by a reduced ability to colonize the intestine, and by a very mild inflammatory response, was unable to successfully sustain competition with the microbiota.  DOI: 10.3389/fcimb.2015.00106  PMCID: PMC4722131	26835435
169. PLoS One. 2016 Jan 29;11(1):e0148115. doi: 10.1371/journal.pone.0148115.	eCollection 2016.  Hepatic Macrosteatosis Is Partially Converted to Microsteatosis by Melatonin Supplementation in ob/ob Mice Non-Alcoholic Fatty Liver Disease.  Stacchiotti A(1)(2), Favero G(1), Lavazza A(3), Golic I(4), Aleksic M(4), Korac A(4), Rodella LF(1)(2), Rezzani R(1)(2).  Author information:  (1)Anatomy and Physiopathology Division, Department of Clinical and Experimental  Sciences, University of Brescia, Viale Europa 11, 25123, Brescia, Italy. (2)Interdipartimental University Center of Research "Adaption and Regeneration of Tissues and Organs- (ARTO)", University of Brescia, Italy. (3)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Via A. Bianchi 7/9, 25124, Brescia, Italy. (4)Center for Electron Microscopy, Faculty of Biology, University of Belgrade, Belgrade, Republic of Serbia.  BACKGROUND: Obesity is a common risk factor for non-alcoholic fatty liver disease (NAFLD). Currently, there are no specific treatments against NAFLD. Thus, examining any molecule with potential benefits against this condition emerged melatonin as a molecule that influences metabolic dysfunctions. The aim of this study was to determine whether melatonin would function against NAFDL, studying morphological, ultrastuctural and metabolic markers that characterize the liver of ob/ob mice. METHODS: Lean and ob/ob mice were supplemented with melatonin in the drinking water for 8 weeks. Histology and stereology were performed to assess hepatic steatosis and glycogen deposition. Ultrastructural features of mitochondria, endoplasmic reticulum (ER) and their juxtapositions were evaluated in livers of all experimental groups. Furthermore, hepatic distribution and expression of markers of ER and mitochondria (calnexin, ATP sintase β, GRP78 and CHOP) and metabolic dysfunction (RPB4, β-catenin) and cellular longevity (SIRT1) were analyzed. RESULTS: Melatonin significantly reduced glycemia, identified also by a decrease  of hepatic RBP4 expression, reversed macrosteatosis in microsteatosis at the hepatic pericentral zone, enlarged ER-mitochondrial distance and ameliorated the  morphology and organization of these organelles in ob/ob mouse liver. Furthermore, in ob/ob mice, calnexin and ATP synthase β were partially restored,  GRP78 and CHOP decreased in periportal and midzonal hepatocytes and β-catenin expression was, in part, restored in peripheral membranes of hepatocytes. Melatonin supplementation to ob/ob mice improves hepatic morphological, ultrastructural and metabolic damage that occurs as a result of NAFLD. CONCLUSIONS: Melatonin may be a potential adjuvant treatment to limit NAFLD and its progression into irreversible complications.  DOI: 10.1371/journal.pone.0148115  PMCID: PMC4732686	26824477
170. J Dairy Sci. 2016 Mar;99(3):2151-2156. doi: 10.3168/jds.2015-9940. Epub 2016 Jan 	21.  Short communication: Methicillin-resistant Staphylococcus aureus in bulk tank milk of dairy cows and effect of swine population density.  Locatelli C(1), Cremonesi P(2), Bertocchi L(3), Zanoni MG(2), Barberio A(4), Drigo I(5), Varisco G(3), Castiglioni B(2), Bronzo V(1), Moroni P(6).  Author information:  (1)Dipartimento di Scienze Veterinarie per la Salute, la Produzione Animale e la  Sicurezza Alimentare, Università degli Studi di Milano, 20133 Milan, Italy. (2)Istituto di Biologia e Biotecnologia Agraria, Consiglio Nazionale delle Ricerche, via Einstein, 26900 Lodi, Italy. (3)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, via Bianchi 9, 25124 Brescia, Italy. (4)Dipartimento di Scienze Veterinarie per la Salute, la Produzione Animale e la  Sicurezza Alimentare, Università degli Studi di Milano, 20133 Milan, Italy; Istituto Zooprofilattico Sperimentale delle Venezie, Sez. terr. Vicenza viale Fiume 78, 36100 Vicenza, Italy. (5)Istituto Zooprofilattico Sperimentale delle Venezie, Sez. terr. Treviso, V.le  Mazzini 4, 31020 Villorba (TV), Italy. (6)Dipartimento di Scienze Veterinarie per la Salute, la Produzione Animale e la  Sicurezza Alimentare, Università degli Studi di Milano, 20133 Milan, Italy; Animal Health Diagnostic Center, Quality Milk Production Services, Cornell University, Ithaca, NY 14853. Electronic address: paolo.moroni@unimi.it.  The methicillin-resistant Staphylococcus aureus (MRSA) has recently frequently been reported in dairy cattle, usually with low prevalence. The livestock-associated MRSA (LA-MRSA) ST398 is especially involved in cases of subclinical and clinical mastitis. Swine carry LA-MRSA without clinical symptoms  and are considered its reservoir and shedder. People exposed to swine are particularly at risk of LA-MRSA colonization. Environments with relevant livestock density are a demonstrated risk factor for humans to be carriers of a LA-MRSA. This work investigated dairy farms located in an area with a high livestock density, mainly represented by swine. Bulk tank milk samples from 224 dairy farms were collected, and their status was defined as MRSA-positive or MRSA-negative based on culture on chromogenic medium. The number of fattening swine and of fattening swine herds was calculated in an area of 3 km around each  dairy farm through georeferencing. The probability of a Staphylococcus aureus-positive dairy farm to be MRSA positive based on the extent of potential infective pressure due to swine density was calculated. Both the number of swine  herds and the number of swine were associated with the MRSA status of dairy herds. The 9 MRSA isolated were typed by multi-locus sequence typing and spa-typing, and characterized for their virulence factors and antimicrobial resistance profiles. The ST and spa-types detected are consistent with those present in the Italian swine population. Virulence and resistance profiles are mostly consistent with the types detected. This work provides the first evidence  of the epidemiological challenge exerted by the density of the swine population on MRSA in dairy cows.  Copyright © 2016 American Dairy Science Association. Published by Elsevier Inc. All rights reserved.  DOI: 10.3168/jds.2015-9940 	26805972
171. PLoS One. 2016 Jan 13;11(1):e0145912. doi: 10.1371/journal.pone.0145912.	eCollection 2016.  A New ELISA Using the ANANAS Technology Showing High Sensitivity to diagnose the  Bovine Rhinotracheitis from Individual Sera to Pooled Milk.  Casarin E(1), Lucchese L(2), Grazioli S(3), Facchin S(4), Realdon N(1), Brocchi E(3), Morpurgo M(1), Nardelli S(2).  Author information:  (1)University of Padova, Department of Pharmaceutical and Pharmacological Sciences Padova, Italy. (2)Istituto Zooprofilattico Sperimentale delle Venezie (IZSVe), Legnaro (PD), Italy. (3)Istituto Zooprofilattico Sperimentale della Lombardia ed Emilia Romagna (IZSLER), Brescia, Italy. (4)ANANAS nanotech, S.r.l., Padova, Italy.  Diagnostic tests for veterinary surveillance programs should be efficient, easy to use and, possibly, economical. In this context, classic Enzyme linked ImmunoSorbent Assay (ELISA) remains the most common analytical platform employed  for serological analyses. The analysis of pooled samples instead of individual ones is a common procedure that permits to certify, with one single test, entire  herds as "disease-free". However, diagnostic tests for pooled samples need to be  particularly sensitive, especially when the levels of disease markers are low, as in the case of anti-BoHV1 antibodies in milk as markers of Infectious Bovine Rhinotracheitis (IBR) disease. The avidin-nucleic-acid-nanoassembly (ANANAS) is a novel kind of signal amplification platform for immunodiagnostics based on colloidal poly-avidin nanoparticles that, using model analytes, was shown to strongly increase ELISA test performance as compared to monomeric avidin. Here, for the first time, we applied the ANANAS reagent integration in a real diagnostic context. The monoclonal 1G10 anti-bovine IgG1 antibody was biotinylated and integrated with the ANANAS reagents for indirect IBR diagnosis from pooled milk mimicking tank samples from herds with IBR prevalence between 1  to 8%. The sensitivity and specificity of the ANANAS integrated method was compared to that of a classic test based on the same 1G10 antibody directly linked to horseradish peroxidase, and a commercial IDEXX kit recently introduced  in the market. ANANAS integration increased by 5-fold the sensitivity of the 1G10 mAb-based conventional ELISA without loosing specificity. When compared to the commercial kit, the 1G10-ANANAS integrated method was capable to detect the presence of anti-BHV1 antibodies from bulk milk of gE antibody positive animals with 2-fold higher sensitivity and similar specificity. The results demonstrate the potentials of this new amplification technology, which permits improving current classic ELISA sensitivity limits without the need for new hardware investments.  DOI: 10.1371/journal.pone.0145912  PMCID: PMC4712047	26761815
